feature,feature_value,shap_value,abs_shap_value
Expenditure_trend,-20009.999999999996,0.14106452595608746,0.14106452595608746
Expenditure_latest,33750.0,0.1245168522977445,0.1245168522977445
Expenditure_mean,33850.0,0.09459195741237614,0.09459195741237614
Expenditure_std,47283.34802020686,0.09326718927020604,0.09326718927020604
Loss_years,2.0,0.08049587774666783,0.08049587774666783
Profit_margin_mean,0.9975,0.059258267783710024,0.059258267783710024
Revenue_latest,0.0,0.05456666524470085,0.05456666524470085
Revenue_std,105386.19454178996,0.042355732855925095,0.042355732855925095
Profit_std,146529.17229457528,-0.03922912581333571,0.03922912581333571
Revenue_trend,-500.0000000000085,0.027139434301838163,0.027139434301838163
Profit_mean,57400.0,-0.020615126609151664,0.020615126609151664
Revenue_mean,91250.0,0.01894080497246169,0.01894080497246169
Staff_latest,1.0,0.013265682230016833,0.013265682230016833
Staff_mean,1.0,0.012491012131825711,0.012491012131825711
Profit_margin_latest,0.995,0.007645965008107939,0.007645965008107939
Staff_trend,0.0,-0.004242706145627762,0.004242706145627762
Staff_std,0.0,0.0008400882538581573,0.0008400882538581573
Profit_latest,-33750.0,-0.0006054795064026577,0.0006054795064026577
