feature,mean_abs_shap,mean_shap
Staff_latest,0.10835108108657936,-0.016500365781400933
Expenditure_latest,0.058938573368391645,-0.005918874729878434
Expenditure_trend,0.052547150906584406,-0.009118215953168645
Profit_std,0.0381655498627283,-0.0027947668908522645
Revenue_std,0.03538719111210518,-0.0026111478009006126
Expenditure_mean,0.031035160088127803,0.0006403968876255631
Expenditure_std,0.028022768807870926,-0.003921384990337563
Loss_years,0.02153092819610582,-0.001981286988098765
Revenue_trend,0.02085696868869521,-0.0017777926657672875
Staff_trend,0.018707566253604414,-0.002461525604261897
Revenue_latest,0.018674690942231172,0.00066624649854781
Profit_mean,0.01473180693213994,0.0008875813247124784
Profit_margin_mean,0.012198989259547552,0.0012112253579259194
Revenue_mean,0.008592359093547742,-0.0001022965433249342
Staff_mean,0.006599621723811031,-0.000545054616979805
Profit_latest,0.005083764018654887,-0.0008900428374679545
Profit_margin_latest,0.00438617132207651,0.000748101275808037
Staff_std,0.0015383103837122928,3.341179459500901e-05
